                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 0.0212,                0.88571,                      1,                0.65674,             0.00025454,             0.00025454,             0.00025454
                     68,                0.01873,                0.87619,                      1,                0.66528,             0.00024747,             0.00024747,             0.00024747
                     69,                0.01957,                0.86667,                      1,                0.65674,              0.0002404,              0.0002404,              0.0002404
                     70,                0.01561,                0.88571,                      1,                0.65222,             0.00023334,             0.00023334,             0.00023334
                     71,                0.01486,                0.84762,                      1,                0.70422,             0.00022627,             0.00022627,             0.00022627
                     72,                0.01549,                0.87619,                      1,                0.67871,              0.0002192,              0.0002192,              0.0002192
                     73,                0.01766,                0.87619,                      1,                0.65857,             0.00021213,             0.00021213,             0.00021213
                     74,                0.02069,                0.87619,                      1,                0.66687,             0.00020506,             0.00020506,             0.00020506
                     75,                0.01825,                0.87619,                      1,                0.70569,             0.00019799,             0.00019799,             0.00019799
                     76,                0.02072,                0.86667,                      1,                0.68652,             0.00019092,             0.00019092,             0.00019092
                     77,                 0.0157,                0.86667,                      1,                 0.6792,             0.00018385,             0.00018385,             0.00018385
                     78,                0.01977,                0.88571,                      1,                 0.6825,             0.00017679,             0.00017679,             0.00017679
                     79,                0.01384,                0.87619,                      1,                  0.677,             0.00016972,             0.00016972,             0.00016972
                     80,                0.02052,                0.89524,                      1,                0.65002,             0.00016265,             0.00016265,             0.00016265
                     81,                0.01363,                0.89524,                      1,                0.64185,             0.00015558,             0.00015558,             0.00015558
                     82,                0.01413,                0.89524,                      1,                0.66724,             0.00014851,             0.00014851,             0.00014851
                     83,                0.01314,                0.89524,                      1,                0.67957,             0.00014144,             0.00014144,             0.00014144
                     84,                0.01776,                0.86667,                      1,                0.67725,             0.00013437,             0.00013437,             0.00013437
                     85,                0.01829,                0.87619,                      1,                0.68164,             0.00012731,             0.00012731,             0.00012731
                     86,                 0.0155,                0.87619,                      1,                0.67126,             0.00012024,             0.00012024,             0.00012024
                     87,                0.01525,                0.86667,                      1,                0.67078,             0.00011317,             0.00011317,             0.00011317
                     88,                0.01514,                0.88571,                      1,                 0.6814,              0.0001061,              0.0001061,              0.0001061
                     89,                0.01419,                0.87619,                      1,                 0.6449,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                0.01411,                0.89524,                      1,                0.65759,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.01136,                0.88571,                      1,                0.67822,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                 0.0134,                0.88571,                      1,                0.69263,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.01227,                0.87619,                      1,                0.66711,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.01956,                0.87619,                      1,                0.65881,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                0.01405,                0.88571,                      1,                0.66675,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.01207,                0.86667,                      1,                0.72229,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                0.01417,                0.86667,                      1,                 0.6842,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                0.01214,                0.86667,                      1,                0.64893,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                0.01468,                0.86667,                      1,                0.69189,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                0.01305,                0.86667,                      1,                0.65002,             2.1277e-05,             2.1277e-05,             2.1277e-05
